DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt
Average,,-3.39,24.91,-27.54,-24.38,-3.53,-9.73,9.41
,  ,-3.39,24.91,-27.54,-24.38,-3.53,-9.73,9.41
DDcy,,-46.92,-3.53,28.87,-25.02,-17.53,3.19,10.43
,  EEbkv,-99.77,-51.09,25.34,-71.98,-29.63,43.64,1.61
,  EEmpy,45.77,87.54,29.37,-63.73,-5.20,50.87,22.86
,  EEcrv,-86.75,-47.04,31.91,60.66,-17.75,-84.94,6.82
DDcjx,,-3.32,41.68,-53.61,-64.89,-15.41,-36.01,12.21
,  EEmz,46.77,90.58,-93.18,-57.75,-4.73,55.01,22.19
,  EEkqy,29.86,-50.11,-99.90,-70.34,-27.49,-86.79,3.00
,  EEdhv,-86.58,84.57,32.24,-66.58,-14.00,-76.24,11.43
DDmx,,40.08,36.57,-57.89,16.76,22.35,3.63,5.59
,  EEmz,33.37,73.54,22.06,56.73,93.85,-83.96,-0.61
,  EEqz,41.93,-48.13,-99.96,-69.69,-19.81,47.02,4.54
,  EEbhk,44.93,84.31,-95.78,63.24,-6.98,47.82,12.83
