CC,DD,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,EE,FF
CCkqy,,6.79,37.24,82.73,71.33,27.16,15.90,91.35,12.13,,
,  DDhk,13.97,43.89,90.93,79.21,34.79,22.78,98.43,64.56,EEmz,FFbpv
,  DDcwz,6.79,37.24,82.73,72.21,27.16,16.00,91.35,52.78,EEmz,FFbpv
,  DDbsz,9.85,43.69,85.20,71.33,30.18,15.90,96.51,12.13,EEhpx,FFbpv
CCbt,,3.41,33.53,78.70,70.51,25.93,14.90,91.22,47.60,,
,  DDhpt,6.08,35.58,78.75,72.18,27.65,15.66,94.71,53.52,EEhpx,FFgqt
,  DDmpy,7.18,44.55,80.93,76.46,31.78,20.22,97.74,64.00,EEmz,FFgqt
,  DDmx,3.41,33.53,78.70,70.51,25.93,14.90,91.22,47.60,EEmz,FFgqt
CCcy,,5.18,34.12,79.80,71.19,25.94,15.95,90.01,48.01,,
,  DDbkv,5.18,36.47,81.98,71.19,25.94,15.95,92.72,48.01,EEhpx,FFlmr
,  DDhlt,12.03,45.73,79.80,78.00,33.79,18.79,96.04,65.56,EEhpx,FFlmr
,  DDbmz,6.86,34.12,84.25,74.99,29.90,17.19,90.01,57.36,EEmz,FFlmr
Minimum,,3.41,33.53,78.70,70.51,25.93,14.90,90.01,12.13,,
,  ,3.41,33.53,78.70,70.51,25.93,14.90,90.01,12.13,,
