AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,96.63
AAdk,BBtw,CChv,DDtv,EEmn,97.03
AAdk,BBtw,CChv,DDpw,EEfh,66.55
AAdk,BBst,CChv,DDnt,EEdn,97.22
AAdk,BBst,CChv,DDtv,EEmn,97.71
AAdk,BBst,CChv,DDpw,EEfh,38.63
AAdk,BBrz,CChv,DDnt,EEdn,10.25
AAdk,BBrz,CChv,DDtv,EEmn,43.48
AAdk,BBrz,CChv,DDpw,EEfh,13.02
AAdk,BBtw,CChv,DDnt,EEdn,81.59
AAdk,BBtw,CChv,DDtv,EEmn,20.06
AAdk,BBtw,CChv,DDpw,EEfh,84.52
AAdk,BBst,CChv,DDnt,EEdn,24.32
AAdk,BBst,CChv,DDtv,EEmn,56.9
AAdk,BBst,CChv,DDpw,EEfh,95.74
