Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,137.57
AAdk,BBtw,CCst,DDnw,273.02
AAdk,BBtw,CCbx,DDrz,787.92
AAdk,BBtw,CChv,DDcl,408.98
AAdk,BBtw,CCst,DDlp,537.56
AAdk,BBtw,CCbx,DDcs,283.15
AAdk,BBtw,CChv,DDhm,545.77
AAdk,BBtw,CCst,DDdf,931.11
AAdk,BBtw,CCbx,DDnt,293.32
AAdk,BBrv,CChv,DDnt,421.02
AAdk,BBrv,CCst,DDnw,46.94
AAdk,BBrv,CCbx,DDrz,432.16
AAdk,BBrv,CChv,DDcl,820.59
AAdk,BBrv,CCst,DDlp,310.47
AAdk,BBrv,CCbx,DDcs,576.99
AAdk,BBrv,CChv,DDhm,834.28
AAdk,BBrv,CCst,DDdf,195.1
AAdk,BBrv,CCbx,DDnt,582.69
AAdk,BBtw,CChv,DDnt,841.61
AAdk,BBtw,CCst,DDnw,333.4
AAdk,BBtw,CCbx,DDrz,90.77
AAdk,BBtw,CChv,DDcl,610.79
AAdk,BBtw,CCst,DDlp,741.62
AAdk,BBtw,CCbx,DDcs,877.85
AAdk,BBtw,CChv,DDhm,241.73
AAdk,BBtw,CCst,DDdf,881.85
AAdk,BBtw,CCbx,DDnt,753.11
