DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCkrs
Average,,-3.78,19.15,28.72,14.51,-14.37,-14.11
,  ,-3.78,19.15,28.72,14.51,-14.37,-14.11
DDcy,,-13.10,30.06,28.47,13.59,-15.04,-59.16
,  EEmpy,26.62,62.19,-34.25,42.92,-11.99,-63.64
,  EEjvz,-93.80,-61.21,98.61,54.53,-6.49,-47.15
,  EEbkv,3.49,57.59,87.30,-87.99,-23.64,-67.97
,  EEcrv,11.29,61.68,-37.79,44.88,-18.02,-57.89
DDcjx,,-8.66,30.73,30.50,50.55,-11.63,-21.98
,  EEkqy,7.51,57.89,89.95,42.43,-21.05,71.88
,  EEhq,-97.03,62.71,96.92,60.10,-9.53,-49.53
,  EEdhv,18.67,62.75,-36.63,45.35,-14.21,-61.76
,  EEmz,36.20,-60.44,-28.24,54.31,-1.73,-48.51
DDmx,,10.44,-3.34,27.19,-20.60,-16.45,38.81
,  EEqz,8.78,-68.52,-38.42,-86.72,-18.47,72.38
,  EEbhk,-0.01,63.57,-34.64,41.80,-13.12,-58.58
,  EEmz,-0.98,-72.61,84.52,40.10,-26.54,61.45
,  EEksy,33.95,64.20,97.32,-77.57,-7.67,80.01
