CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv
CChpx,,1.80,5.51,17.49,0.27,-10.38,-27.76
,  DDkrs,-56.58,-1.76,-39.58,35.53,59.74,-20.44
,  DDcmp,61.13,-11.16,-50.49,14.94,-77.37,-31.96
,  DDlmr,62.62,-15.09,75.68,-75.29,50.03,-34.89
,  DDdlz,-59.95,50.04,84.33,25.89,-73.94,-23.73
CCfnw,,1.36,-26.77,-18.35,-39.57,-43.60,66.82
,  DDkrs,61.48,-18.61,-55.64,2.28,-79.89,92.95
,  DDqz,61.97,-79.76,77.45,12.16,52.38,96.76
,  DDgv,-60.08,-5.78,-54.39,-73.25,-73.31,99.19
,  DDmx,-57.94,-2.91,-40.81,-99.46,-73.60,-21.61
CCbt,,-32.05,-47.80,45.49,13.00,17.97,33.82
,  DDcwz,63.16,-14.89,75.16,10.72,-77.56,-33.03
,  DDbmz,-61.91,-78.47,78.23,14.36,49.67,99.67
,  DDmpy,-60.56,-77.88,87.51,25.47,57.89,-22.68
,  DDmx,-68.89,-19.98,-58.94,1.47,41.89,91.31
