DD,EE,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAhpx_BBnqx_CCcqx,Maximum
DDmx,EEqz,15.45,13.00,5.10,24.28,23.07,24.28
,EEbhk,6.28,17.16,6.78,8.61,26.35,26.35
,EEmz,10.26,10.82,0.77,20.73,20.27,20.73
DDcy,EEcrv,16.57,14.29,6.96,8.85,23.21,23.21
,EEmz,7.28,18.95,6.75,8.25,26.61,26.61
,EEbkv,11.37,12.42,3.40,27.84,18.55,27.84
DDcjx,EEkqy,4.23,13.84,4.80,24.50,22.66,24.50
,EEdhv,18.21,13.06,7.34,8.64,19.02,19.02
,EEbkv,20.94,12.74,10.51,9.49,27.04,27.04
Maximum,,20.94,18.95,10.51,27.84,27.04,27.84
