DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs
DDcjx,,-78.89,-12.26,47.11,92.63,12.44,-37.39,73.17,-58.84
,  EEkqy,-91.43,-20.78,38.90,86.27,2.86,-44.96,63.92,-68.48
,  EEbkv,-69.90,-2.02,57.68,97.74,28.64,-29.67,81.35,-50.31
,  EEdhv,-81.49,-14.66,42.01,90.79,3.71,-39.24,70.28,-59.73
,  EEhq,-72.76,-11.56,49.83,95.73,14.55,-35.69,77.13,-56.85
DDmx,,-81.67,-17.99,42.39,88.76,7.03,-42.46,69.79,-61.13
,  EEmz,-93.03,-30.08,30.51,82.95,-0.95,-50.50,58.64,-69.07
,  EEksy,-71.86,-9.71,52.11,97.77,18.75,-35.28,81.06,-53.02
,  EEbhk,-77.06,-13.47,47.90,92.00,6.50,-39.37,72.49,-58.64
,  EEqz,-84.72,-18.70,39.05,82.32,3.80,-44.68,66.98,-63.80
DDcy,,-81.48,-15.24,43.93,91.80,8.22,-39.35,70.70,-60.58
,  EEcrv,-83.69,-15.50,41.57,88.43,4.06,-40.37,69.60,-62.19
,  EEmpy,-76.47,-15.06,48.91,95.38,5.46,-37.81,72.52,-58.94
,  EEmz,-72.45,-5.33,54.12,98.20,21.60,-30.32,81.55,-51.59
,  EEbkv,-93.30,-25.06,31.11,85.20,1.76,-48.89,59.13,-69.58
Average,,-80.68,-15.16,44.48,91.06,9.23,-39.73,71.22,-60.18
,  ,-80.68,-15.16,44.48,91.06,9.23,-39.73,71.22,-60.18
