CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl,Minimum
CChv,,11.41,66.66,39.76,0.30,82.80,0.30
,  DDnt,11.41,66.66,39.76,0.30,82.80,0.30
,  DDcl,17.34,71.78,47.72,4.00,87.80,4.00
,  DDhm,31.65,75.34,53.12,7.29,90.94,7.29
CCst,,15.75,69.94,40.44,2.88,84.58,2.88
,  DDdf,36.41,77.56,58.45,7.92,94.75,7.92
,  DDnw,15.75,69.94,40.44,2.88,84.58,2.88
,  DDlp,24.67,72.62,47.49,3.44,89.45,3.44
CCbx,,15.68,70.54,38.86,3.36,87.95,3.36
,  DDcs,25.37,75.01,50.74,4.64,90.20,4.64
,  DDrz,15.68,70.54,38.86,3.36,87.95,3.36
,  DDjn,38.28,78.49,62.72,11.30,97.50,11.30
Minimum,,11.41,66.66,38.86,0.30,82.80,0.30
,  ,11.41,66.66,38.86,0.30,82.80,0.30
