CC,DD,AAdk_BBtw,AAdk_BBpw,AAdk_BBqx,AAst_BBlp,AAst_BBnw,EE,FF
CCfh,,5.08,41.40,93.82,82.14,24.60,,
,  DDcl,5.08,41.40,93.82,82.14,24.60,EEdn,FFrv
,  DDps,17.57,63.97,98.11,92.18,31.46,EEdn,FFrv
CCtv,,3.34,36.45,92.20,79.13,17.45,,
,  DDmn,3.34,36.45,93.29,79.13,17.45,EEdn,FFrv
,  DDhm,16.88,59.94,92.20,90.60,29.44,EEdn,FFrv
CChv,,2.87,31.06,92.69,79.67,18.46,,
,  DDnt,2.87,31.06,92.69,79.67,18.46,EEdn,FFrv
,  DDhz,7.70,48.75,96.80,89.49,26.42,EEdn,FFrv
Minimum,,2.87,31.06,92.20,79.13,17.45,,
,  ,2.87,31.06,92.20,79.13,17.45,,
