DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs
Maximum,,16.39,4.50,22.17,15.65,27.09,23.79,27.64,11.18
,  ,16.39,4.50,22.17,15.65,27.09,23.79,27.64,11.18
DDmx,,16.18,4.18,22.17,15.65,21.96,19.11,27.64,7.21
,  EEcrv,16.18,4.18,22.17,15.65,4.09,2.97,27.64,4.49
,  EEkqy,15.04,2.86,20.28,14.66,5.57,19.11,26.90,7.21
,  EEmz,11.25,0.31,13.54,3.80,21.96,16.02,24.59,6.94
DDcy,,16.39,4.50,22.07,15.56,27.09,23.79,25.33,11.18
,  EEqz,16.39,3.54,13.27,15.56,26.13,21.38,24.60,9.81
,  EEmz,3.50,4.50,22.07,14.28,9.51,23.79,5.08,11.18
,  EEbkv,13.71,1.29,19.42,13.74,27.09,18.27,25.33,7.63
