CC,DD,AAfnw_BBknr,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAcqx_BBcjx,AAcqx_BBgv,Minimum,EE,FF
CCcy,,90.75,28.14,54.45,50.59,76.75,5.32,37.87,67.83,5.32,,
,  DDbkv,90.75,28.14,54.45,50.59,76.75,5.32,37.87,67.83,5.32,EEmz,FFlmr
,  DDhpt,93.27,30.15,61.49,52.14,80.80,7.11,42.27,69.75,7.11,EEmz,FFlmr
,  DDmx,98.27,33.14,65.31,51.42,83.67,18.96,46.37,72.29,18.96,EEmz,FFlmr
CCbt,,87.30,19.73,55.96,48.80,73.13,0.65,37.76,65.19,0.65,,
,  DDcwz,92.11,29.88,57.84,51.84,77.71,7.32,40.49,68.82,7.32,EEmz,FFgqt
,  DDbmz,94.90,31.75,63.29,53.98,80.40,14.27,45.16,70.50,14.27,EEmz,FFgqt
,  DDmx,87.30,19.73,55.96,48.80,73.13,0.65,37.76,65.19,0.65,EEmz,FFgqt
Minimum,,87.30,19.73,54.45,48.80,73.13,0.65,37.76,65.19,0.65,,
,  ,87.30,19.73,54.45,48.80,73.13,0.65,37.76,65.19,0.65,,
