Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,770.1
AAdk,BBtw,CChv,DDtv,EEmn,775.31
AAdk,BBtw,CChv,DDpw,EEfh,276.71
AAdk,BBtw,CChv,DDnt,EElp,788.98
AAdk,BBtw,CChv,DDtv,EEfx,281.75
AAdk,BBtw,CChv,DDpw,EEhr,283.58
AAdk,BBtw,CChv,DDnt,EEhl,926.07
AAdk,BBtw,CChv,DDtv,EEdn,799.32
AAdk,BBtw,CChv,DDpw,EEmn,34.63
AAdk,BBst,CChv,DDnt,EEdn,163.45
AAdk,BBst,CChv,DDtv,EEmn,547.37
AAdk,BBst,CChv,DDpw,EEfh,551.23
AAdk,BBst,CChv,DDnt,EElp,937.84
AAdk,BBst,CChv,DDtv,EEfx,429.16
AAdk,BBst,CChv,DDpw,EEhr,313.38
AAdk,BBst,CChv,DDnt,EEhl,828.49
AAdk,BBst,CChv,DDtv,EEdn,61.6
AAdk,BBst,CChv,DDpw,EEmn,191.65
AAdk,BBtw,CChv,DDnt,EEdn,835.4
AAdk,BBtw,CChv,DDtv,EEmn,707.06
AAdk,BBtw,CChv,DDpw,EEfh,581.4
AAdk,BBtw,CChv,DDnt,EElp,712.64
AAdk,BBtw,CChv,DDtv,EEfx,587.18
AAdk,BBtw,CChv,DDpw,EEhr,972.19
AAdk,BBtw,CChv,DDnt,EEhl,717.59
AAdk,BBtw,CChv,DDtv,EEdn,596.73
AAdk,BBtw,CChv,DDpw,EEmn,980.11
AAdk,BBst,CChv,DDnt,EEdn,220.62
AAdk,BBst,CChv,DDtv,EEmn,860.41
AAdk,BBst,CChv,DDpw,EEfh,97.15
AAdk,BBst,CChv,DDnt,EElp,103.12
AAdk,BBst,CChv,DDtv,EEfx,367.47
AAdk,BBst,CChv,DDpw,EEhr,114.14
AAdk,BBst,CChv,DDnt,EEhl,629.66
AAdk,BBst,CChv,DDtv,EEdn,890.97
AAdk,BBst,CChv,DDpw,EEmn,508.02
