DD,EE,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv
DDcy,,25.60,4.61,18.08,16.17,27.88
,  EEbkv,19.30,1.06,3.60,9.83,25.92
,  EEcrv,14.03,4.61,15.66,13.55,27.88
,  EEmpy,25.60,2.19,18.08,16.17,26.90
DDmx,,24.05,2.76,12.25,15.43,27.44
,  EEmz,17.34,0.14,6.43,9.39,27.44
,  EEbhk,24.05,1.04,4.99,15.43,25.71
,  EEqz,15.76,2.76,12.25,8.14,24.72
DDcjx,,26.89,3.29,27.74,17.29,27.66
,  EEkqy,20.09,1.22,11.54,11.31,27.66
,  EEmz,26.89,1.46,27.74,17.29,5.27
,  EEdhv,23.41,3.29,16.78,14.19,24.70
