CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv
Minimum,,37.11,77.07,90.80,56.03,0.74,25.42,68.58
,  ,37.11,77.07,90.80,56.03,0.74,25.42,68.58
CCbt,,37.11,77.98,91.45,56.06,0.74,25.42,68.58
,  DDbmz,49.19,87.64,96.24,60.29,18.57,33.59,71.82
,  DDmx,37.11,77.98,91.45,56.06,0.74,25.42,68.58
,  DDcwz,42.60,80.24,94.62,61.28,9.52,26.50,69.39
CCfnw,,37.62,77.07,92.10,56.03,2.20,26.47,69.96
,  DDqz,44.46,83.29,92.10,61.92,15.97,29.11,71.07
,  DDmx,54.95,87.55,97.16,61.72,20.39,34.53,75.24
,  DDkrs,37.62,77.07,92.46,56.03,2.20,26.47,69.96
CChpx,,42.46,79.86,90.80,60.06,6.53,26.51,70.74
,  DDlmr,42.46,79.86,90.80,60.06,6.53,26.51,70.74
,  DDkrs,54.00,90.50,99.74,66.73,21.76,36.12,76.41
,  DDcmp,46.64,84.14,96.52,63.67,17.43,32.91,73.42
