DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,Average
DDcjx,,-10.64,-2.77,-9.76,13.78,63.44,-82.95,54.52,3.66
,  EEmz,-92.20,-42.86,-2.86,22.44,70.01,-75.21,-25.10,-20.83
,  EEdhv,30.77,83.96,-6.97,12.45,64.03,-84.49,98.31,28.29
,  EEkqy,29.52,-49.40,-19.46,6.46,56.29,-89.16,90.36,3.52
DDmx,,-12.59,77.37,-9.99,7.59,16.04,-1.37,19.72,13.82
,  EEqz,-98.44,79.04,-2.16,6.68,57.67,41.94,92.65,25.34
,  EEmz,27.21,69.82,-21.99,4.10,-74.41,37.91,-2.78,5.69
,  EEbhk,33.46,83.25,-5.83,12.00,64.86,-83.96,-30.71,10.44
DDcy,,-13.90,36.56,-11.65,12.04,61.77,0.61,16.22,14.52
,  EEcrv,30.13,-48.54,-10.05,8.74,59.63,-86.67,92.38,6.52
,  EEbkv,27.39,73.35,-20.75,4.42,55.92,39.39,-38.15,20.22
,  EEmpy,-99.22,84.86,-4.16,22.97,69.77,49.10,-5.58,16.82
Average,,-12.38,37.05,-10.47,11.14,47.09,-27.91,30.15,10.67
,  ,-12.38,37.05,-10.47,11.14,47.09,-27.91,30.15,10.67
