AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,0.45
AAdk,BBdn,CCrv,1.76
AAdk,BBnw,CCtv,3.99
AAdk,BBtw,CCrz,3.53
AAdk,BBdn,CCfh,3.41
AAdk,BBnw,CCdl,7.7
AAdk,BBtw,CCjz,8.66
AAdk,BBdn,CChv,10.45
AAdk,BBnw,CCrv,11.31
AAnt,BBtw,CChv,11.84
AAnt,BBdn,CCrv,13.28
AAnt,BBnw,CCtv,12.91
AAnt,BBtw,CCrz,16.24
AAnt,BBdn,CCfh,17.07
AAnt,BBnw,CCdl,19.05
AAnt,BBtw,CCjz,20.37
AAnt,BBdn,CChv,20.24
AAnt,BBnw,CCrv,22.14
AAst,BBtw,CChv,22.25
AAst,BBdn,CCrv,21.63
AAst,BBnw,CCtv,25.56
AAst,BBtw,CCrz,26.86
AAst,BBdn,CCfh,27.67
AAst,BBnw,CCdl,23.64
AAst,BBtw,CCjz,26.7
AAst,BBdn,CChv,23.27
AAst,BBnw,CCrv,0.21
