DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt
DDcjx,EEkqy,-95.06,80.69,4.77,98.73,60.80
,EEdhv,38.10,78.75,7.41,-28.47,-62.11
,EEbkv,-77.17,-9.55,21.08,-13.94,-52.19
,EEcrv,-70.99,-31.30,-97.11,-6.40,-49.99
,EEhq,44.71,-41.69,13.36,-20.68,-58.11
DDcy,EEmz,50.35,-38.93,17.62,-18.12,75.78
,EEmpy,-87.34,-41.55,78.44,-23.12,-60.01
,EEbkv,33.13,78.78,3.43,-29.29,59.30
,EEcrv,-92.48,84.47,5.10,-26.04,-63.82
,EEqz,-73.71,96.13,29.69,-8.51,-50.51
DDmx,EEmz,-96.94,-49.68,1.17,98.28,58.72
,EEkqy,-74.10,-34.98,29.81,-9.11,77.45
,EEbhk,38.87,-42.90,9.38,-24.75,68.50
,EEksy,48.96,89.83,17.82,-18.00,74.35
,EEqz,-93.35,-47.84,5.75,-27.77,-66.03
Average,,-33.80,11.35,9.85,-3.81,0.81
