Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,649.8
AAdk,BBtw,CChv,DDtv,EEmn,533.89
AAdk,BBtw,CChv,DDnt,EEfh,661.62
AAdk,BBtw,CChv,DDtv,EElp,150.45
AAdk,BBtw,CChv,DDnt,EEfx,158.41
AAdk,BBtw,CChv,DDtv,EEdn,543.9
AAdk,BBst,CChv,DDnt,EEdn,290.18
AAdk,BBst,CChv,DDtv,EEmn,163.58
AAdk,BBst,CChv,DDnt,EEfh,549.04
AAdk,BBst,CChv,DDtv,EElp,165.13
AAdk,BBst,CChv,DDnt,EEfx,167.17
AAdk,BBst,CChv,DDtv,EEdn,424.13
AAdk,BBrz,CChv,DDnt,EEdn,557.68
AAdk,BBrz,CChv,DDtv,EEmn,302.91
AAdk,BBrz,CChv,DDnt,EEfh,53.01
AAdk,BBrz,CChv,DDtv,EElp,696.23
AAdk,BBrz,CChv,DDnt,EEfx,449.46
AAdk,BBrz,CChv,DDtv,EEdn,835.01
AAdk,BBtw,CChv,DDnt,EEdn,709.2
AAdk,BBtw,CChv,DDtv,EEmn,456.21
AAdk,BBtw,CChv,DDnt,EEfh,851.89
AAdk,BBtw,CChv,DDtv,EElp,215.34
AAdk,BBtw,CChv,DDnt,EEfx,604.08
AAdk,BBtw,CChv,DDtv,EEdn,605.88
AAdk,BBst,CChv,DDnt,EEdn,735.39
AAdk,BBst,CChv,DDtv,EEmn,486.71
AAdk,BBst,CChv,DDnt,EEfh,362.56
AAdk,BBst,CChv,DDtv,EElp,369.01
AAdk,BBst,CChv,DDnt,EEfx,882.98
AAdk,BBst,CChv,DDtv,EEdn,888.45
