DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,Average
DDcjx,,-42.51,50.63,-11.43,32.18,-2.47,-24.28,18.16,55.39,9.46
,  EEkqy,-47.50,49.95,-17.83,-56.86,32.12,-68.20,10.44,93.22,-0.58
,  EEdhv,-41.20,50.06,-14.75,76.80,-85.71,-67.68,20.01,96.55,4.26
,  EEmz,-38.82,51.87,-1.70,76.60,46.18,63.04,24.04,-23.60,24.70
DDmx,,-44.33,-38.16,-17.72,-12.51,-50.48,-26.46,11.93,49.42,-16.04
,  EEbhk,-41.22,-77.22,-13.34,77.42,-84.11,-70.89,20.56,97.95,-11.36
,  EEqz,-44.31,45.45,-16.64,-55.87,-94.20,61.63,11.17,-39.40,-16.52
,  EEmz,-47.45,-82.70,-23.17,-59.09,26.86,-70.12,4.05,89.71,-20.24
DDcy,,-42.89,8.43,-14.33,-54.52,-90.72,-23.59,14.27,9.59,-24.22
,  EEmpy,-39.16,54.20,-8.36,-52.22,-83.72,-63.02,21.59,-27.36,-24.76
,  EEbkv,-46.78,-80.47,-18.04,-59.19,-97.04,-69.65,6.04,89.61,-34.44
,  EEcrv,-42.74,51.56,-16.60,-52.16,-91.41,61.89,15.19,-33.48,-13.47
