AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,2.2
AAdk,BBtw,CCtv,DDmn,EEbx,FFrz,35.64
AAdk,BBtw,CChv,DDcl,EEdn,FFdl,6.55
AAdk,BBtw,CCtv,DDhz,EEbx,FFrv,7.85
AAst,BBnw,CChv,DDnt,EEdn,FFrv,71.83
AAst,BBnw,CCtv,DDmn,EEbx,FFrz,73.04
AAst,BBnw,CChv,DDcl,EEdn,FFdl,78.67
AAst,BBnw,CCtv,DDhz,EEbx,FFrv,78.52
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,48.28
AAdk,BBpw,CCtv,DDmn,EEbx,FFrz,17.09
AAdk,BBpw,CChv,DDcl,EEdn,FFdl,16.26
AAdk,BBpw,CCtv,DDhz,EEbx,FFrv,49.02
AAst,BBlp,CChv,DDnt,EEdn,FFrv,84.78
AAst,BBlp,CCtv,DDmn,EEbx,FFrz,87.2
AAst,BBlp,CChv,DDcl,EEdn,FFdl,88.98
AAst,BBlp,CCtv,DDhz,EEbx,FFrv,28.73
