AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,97.2
AAdk,BBtw,CCst,DDnw,131.36
AAdk,BBtw,CChv,DDrz,964.77
AAdk,BBtw,CCst,DDcl,425.65
AAdk,BBtw,CChv,DDlp,905.28
AAdk,BBtw,CCst,DDcs,494.78
AAdk,BBrv,CChv,DDnt,687.95
AAdk,BBrv,CCst,DDnw,527.79
AAdk,BBrv,CChv,DDrz,913.04
AAdk,BBrv,CCst,DDcl,401.11
AAdk,BBrv,CChv,DDlp,270.19
AAdk,BBrv,CCst,DDcs,114.49
AAdk,BBtw,CChv,DDnt,245.25
AAdk,BBtw,CCst,DDnw,93.67
AAdk,BBtw,CChv,DDrz,633.97
AAdk,BBtw,CCst,DDcl,187.52
AAdk,BBtw,CChv,DDlp,764.51
AAdk,BBtw,CCst,DDcs,317.92
