DD,EE,AArv_BBsy_CChv,AArv_BBst_CCnw,AAdk_BBtw_CChv,AAdk_BBrz_CCdt,Average
DDtv,,-2.49,-25.03,-27.32,48.26,-1.65
,  EElp,-35.75,-86.67,14.18,71.31,-9.23
,  EEkz,-23.55,-71.58,-95.63,-49.89,-60.16
,  EEdn,-11.72,63.95,-86.60,82.07,11.93
,  EEmn,86.08,44.09,1.60,63.15,48.73
,  EEhr,-27.51,-74.96,29.85,74.65,0.51
DDnt,,-4.88,-53.28,-32.41,-43.45,-33.51
,  EEfh,-37.63,-83.61,13.39,-59.77,-41.91
,  EEht,-14.93,-71.04,-93.35,-48.29,-56.90
,  EEhl,-24.37,-72.32,-96.88,-53.72,-61.82
,  EEdn,-44.00,42.17,-0.59,-0.21,-0.66
,  EEfx,96.52,-81.61,15.38,-55.24,-6.24
