Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,897.64
AApqr,BBnqx,CCbt,DDcy,EEbkv,772.49
AApqr,BBnqx,CCbt,DDcjx,EEkqy,901.03
AApqr,BBnqx,CCbt,DDmx,EEqz,902.15
AApqr,BBnqx,CCbt,DDcy,EEcrv,906.25
AApqr,BBnqx,CCbt,DDcjx,EEdhv,140.65
AApqr,BBnqx,CCbt,DDmx,EEbhk,912.33
AApqr,BBnqx,CCbt,DDcy,EEmpy,275.89
AApqr,BBnqx,CCbt,DDcjx,EEmz,151.86
AApqr,BBfnw,CCbt,DDmx,EEmz,535.23
AApqr,BBfnw,CCbt,DDcy,EEbkv,539.44
AApqr,BBfnw,CCbt,DDcjx,EEkqy,928.78
AApqr,BBfnw,CCbt,DDmx,EEqz,293.02
AApqr,BBfnw,CCbt,DDcy,EEcrv,294.46
AApqr,BBfnw,CCbt,DDcjx,EEdhv,171.98
AApqr,BBfnw,CCbt,DDmx,EEbhk,427.87
AApqr,BBfnw,CCbt,DDcy,EEmpy,943.57
AApqr,BBfnw,CCbt,DDcjx,EEmz,815.38
AApqr,BBlmr,CCbt,DDmx,EEmz,689.42
AApqr,BBlmr,CCbt,DDcy,EEbkv,51.65
AApqr,BBlmr,CCbt,DDcjx,EEkqy,440.79
AApqr,BBlmr,CCbt,DDmx,EEqz,445.85
AApqr,BBlmr,CCbt,DDcy,EEcrv,965.12
AApqr,BBlmr,CCbt,DDcjx,EEdhv,454.52
AApqr,BBlmr,CCbt,DDmx,EEbhk,841.57
AApqr,BBlmr,CCbt,DDcy,EEmpy,464.37
AApqr,BBlmr,CCbt,DDcjx,EEmz,466.86
AApqr,BBnqx,CCbt,DDmx,EEmz,83.63
AApqr,BBnqx,CCbt,DDcy,EEbkv,214.06
AApqr,BBnqx,CCbt,DDcjx,EEkqy,346.44
AApqr,BBnqx,CCbt,DDmx,EEqz,859.89
AApqr,BBnqx,CCbt,DDcy,EEcrv,861.75
AApqr,BBnqx,CCbt,DDcjx,EEdhv,991.48
AApqr,BBnqx,CCbt,DDmx,EEbhk,351.93
AApqr,BBnqx,CCbt,DDcy,EEmpy,121.34
AApqr,BBnqx,CCbt,DDcjx,EEmz,482.27
AApqr,BBfnw,CCbt,DDmx,EEmz,487.93
AApqr,BBfnw,CCbt,DDcy,EEbkv,875.82
AApqr,BBfnw,CCbt,DDcjx,EEkqy,623.61
AApqr,BBfnw,CCbt,DDmx,EEqz,499.7
AApqr,BBfnw,CCbt,DDcy,EEcrv,245.27
AApqr,BBfnw,CCbt,DDcjx,EEdhv,505.72
AApqr,BBfnw,CCbt,DDmx,EEbhk,506.17
AApqr,BBfnw,CCbt,DDcy,EEmpy,894.88
AApqr,BBfnw,CCbt,DDcjx,EEmz,127.71
