Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,12.88
AAdk,BBtw,CChv,DDtv,EEmn,538.32
AAdk,BBtw,CChv,DDnt,EEfh,411.59
AAdk,BBtw,CChv,DDtv,EElp,547.5
AAdk,BBtw,CChv,DDnt,EEfx,428.33
AAdk,BBtw,CChv,DDtv,EEdn,301.26
AAdk,BBst,CChv,DDnt,EEdn,44.19
AAdk,BBst,CChv,DDtv,EEmn,688.01
AAdk,BBst,CChv,DDnt,EEfh,434.87
AAdk,BBst,CChv,DDtv,EElp,819.3
AAdk,BBst,CChv,DDnt,EEfx,183.22
AAdk,BBst,CChv,DDtv,EEdn,956.12
AAdk,BBrz,CChv,DDnt,EEdn,321.47
AAdk,BBrz,CChv,DDtv,EEmn,835.13
AAdk,BBrz,CChv,DDnt,EEfh,851.28
AAdk,BBrz,CChv,DDtv,EElp,84.57
AAdk,BBrz,CChv,DDnt,EEfx,119.08
AAdk,BBrz,CChv,DDtv,EEdn,986.39
AAdk,BBtw,CChv,DDnt,EEdn,347.78
AAdk,BBtw,CChv,DDtv,EEmn,219.86
AAdk,BBtw,CChv,DDnt,EEfh,991.32
AAdk,BBtw,CChv,DDtv,EElp,355.01
AAdk,BBtw,CChv,DDnt,EEfx,102.96
AAdk,BBtw,CChv,DDtv,EEdn,234.92
AAdk,BBst,CChv,DDnt,EEdn,750.73
AAdk,BBst,CChv,DDtv,EEmn,494.54
AAdk,BBst,CChv,DDnt,EEfh,241.97
AAdk,BBst,CChv,DDtv,EElp,119.79
AAdk,BBst,CChv,DDnt,EEfx,377.23
AAdk,BBst,CChv,DDtv,EEdn,891.89
