DD,EE,AArv_BBst_CCdl,AArv_BBst_CCnw,AAdk_BBtw_CCmx,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,Maximum
DDtv,,23.66,9.34,26.95,5.59,15.45,26.95
,  EElp,20.46,9.12,25.48,3.80,15.45,25.48
,  EEdn,23.66,9.34,6.94,5.59,13.58,23.66
,  EEmn,20.04,7.70,26.95,0.45,13.73,26.95
DDnt,,23.73,9.99,27.21,4.41,16.82,27.21
,  EEfx,23.73,9.99,0.09,4.41,16.82,23.73
,  EEfh,21.91,5.33,27.21,2.92,13.84,27.21
,  EEdn,18.85,6.96,25.77,0.96,12.03,25.77
Maximum,,23.73,9.99,27.21,5.59,16.82,27.21
,  ,23.73,9.99,27.21,5.59,16.82,27.21
