Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,130.5
AAdk,BBtw,CCst,DDnw,260.06
AAdk,BBtw,CChv,DDrz,271.31
AAdk,BBtw,CCst,DDcl,926.8
AAdk,BBtw,CChv,DDlp,32.38
AAdk,BBtw,CCst,DDnt,37.03
AAdk,BBrv,CChv,DDnt,173.22
AAdk,BBrv,CCst,DDnw,57.09
AAdk,BBrv,CChv,DDrz,317.1
AAdk,BBrv,CCst,DDcl,959.42
AAdk,BBrv,CChv,DDlp,582.92
AAdk,BBrv,CCst,DDnt,458.82
AAdk,BBmn,CChv,DDnt,460.25
AAdk,BBmn,CCst,DDnw,600.96
AAdk,BBmn,CChv,DDrz,858.06
AAdk,BBmn,CCst,DDcl,220.08
AAdk,BBmn,CChv,DDlp,477.97
AAdk,BBmn,CCst,DDnt,98.49
AAdk,BBtw,CChv,DDnt,104.99
AAdk,BBtw,CCst,DDnw,618.6
AAdk,BBtw,CChv,DDrz,368.03
AAdk,BBtw,CCst,DDcl,881.55
AAdk,BBtw,CChv,DDlp,503.58
AAdk,BBtw,CCst,DDnt,255.79
