DD,EE,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AAbx_BBtw_CCdt,AArv_BBst_CCnw,AArv_BBtw_CCmx,Maximum
DDtv,,25.54,6.05,18.57,14.56,24.30,25.54
,  EElp,24.94,2.41,18.57,10.72,24.30,24.94
,  EEhr,25.54,6.05,16.94,14.56,17.80,25.54
,  EEmn,22.68,2.77,16.46,5.14,23.40,23.40
DDnt,,25.30,5.11,19.44,12.48,27.05,27.05
,  EEfx,25.30,5.11,19.44,12.48,16.52,25.30
,  EEfh,21.75,2.84,17.22,8.56,27.05,27.05
,  EEdn,21.13,1.21,15.46,4.63,23.99,23.99
Maximum,,25.54,6.05,19.44,14.56,27.05,27.05
,  ,25.54,6.05,19.44,14.56,27.05,27.05
