DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,Maximum
DDcy,,6.01,19.22,26.03,15.25,25.06,16.57,9.61,23.75,26.03
,  EEbkv,1.62,0.97,25.89,11.37,19.72,10.58,7.17,20.44,25.89
,  EEmpy,6.01,19.22,26.03,15.25,25.06,16.57,0.20,23.75,26.03
,  EEcrv,4.81,18.83,6.09,3.74,22.43,12.18,9.61,2.15,22.43
DDmx,,6.15,18.35,27.62,15.49,22.26,14.05,27.37,21.39,27.62
,  EEmz,0.30,16.12,27.62,11.53,18.78,9.65,27.37,7.13,27.62
,  EEbhk,6.15,18.35,27.28,15.49,22.26,14.05,10.38,2.59,27.28
,  EEqz,3.24,5.46,25.82,12.89,21.86,11.34,2.78,21.39,25.82
DDcjx,,6.19,19.81,26.57,15.75,26.14,17.97,11.57,25.76,26.57
,  EEkqy,1.43,17.61,20.33,12.92,19.91,11.03,8.06,20.95,20.95
,  EEdhv,5.94,2.33,25.59,14.69,23.33,14.39,9.22,22.64,25.59
,  EEhq,6.19,19.81,26.57,15.75,26.14,17.97,11.57,25.76,26.57
