AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,910.23
AAdk,BBtw,CChv,DDtv,EEmn,399.26
AAdk,BBtw,CChv,DDpw,EEfh,270.1
AAdk,BBtw,CChv,DDnt,EElp,658.44
AAdk,BBtw,CChv,DDtv,EEfx,402.29
AAdk,BBtw,CChv,DDpw,EEhr,534.87
AAdk,BBtw,CChv,DDnt,EEhl,790.68
AAdk,BBtw,CChv,DDtv,EEdn,410.53
AAdk,BBtw,CChv,DDpw,EEmn,285.42
AAdk,BBst,CChv,DDnt,EEdn,930.45
AAdk,BBst,CChv,DDtv,EEmn,168.97
AAdk,BBst,CChv,DDpw,EEfh,944.59
AAdk,BBst,CChv,DDnt,EElp,950.23
AAdk,BBst,CChv,DDtv,EEfx,700.03
AAdk,BBst,CChv,DDpw,EEhr,830.15
AAdk,BBst,CChv,DDnt,EEhl,834.58
AAdk,BBst,CChv,DDtv,EEdn,453.51
AAdk,BBst,CChv,DDpw,EEmn,710.74
AAdk,BBtw,CChv,DDnt,EEdn,326.38
AAdk,BBtw,CChv,DDtv,EEmn,721.99
AAdk,BBtw,CChv,DDpw,EEfh,211.75
AAdk,BBtw,CChv,DDnt,EElp,979.78
AAdk,BBtw,CChv,DDtv,EEfx,595.26
AAdk,BBtw,CChv,DDpw,EEhr,474.82
AAdk,BBtw,CChv,DDnt,EEhl,351.77
AAdk,BBtw,CChv,DDtv,EEdn,611.18
AAdk,BBtw,CChv,DDpw,EEmn,99.97
AAdk,BBst,CChv,DDnt,EEdn,227.26
AAdk,BBst,CChv,DDtv,EEmn,102.87
AAdk,BBst,CChv,DDpw,EEfh,359.09
AAdk,BBst,CChv,DDnt,EElp,359.26
AAdk,BBst,CChv,DDtv,EEfx,106.91
AAdk,BBst,CChv,DDpw,EEhr,368.81
AAdk,BBst,CChv,DDnt,EEhl,625.95
AAdk,BBst,CChv,DDtv,EEdn,116.63
AAdk,BBst,CChv,DDpw,EEmn,766.08
