CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBtw,AAdk_BBmn,AAdk_BBdl,Minimum
CCst,,17.33,54.11,8.70,33.19,76.33,8.70
,  DDnw,17.33,54.82,8.70,33.19,76.33,8.70
,  DDlp,21.36,54.11,11.60,39.39,82.17,11.60
,  DDdf,25.17,64.61,13.97,50.45,88.83,13.97
CChv,,14.61,53.28,2.92,32.98,70.66,2.92
,  DDhm,25.19,58.42,13.86,48.22,83.69,13.86
,  DDcl,21.57,55.97,8.60,33.47,79.42,8.60
,  DDnt,14.61,53.28,2.92,32.98,70.66,2.92
CCbx,,18.88,54.25,8.85,9.13,76.54,8.85
,  DDcs,24.64,57.04,11.20,9.13,83.54,9.13
,  DDrz,18.88,54.25,8.85,34.32,76.54,8.85
,  DDnt,29.38,68.75,15.01,52.37,90.15,15.01
Minimum,,14.61,53.28,2.92,9.13,70.66,2.92
,  ,14.61,53.28,2.92,9.13,70.66,2.92
