DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
DDmx,EEbhk,-48.70,62.72,-15.95,9.73,93.90,-68.41,37.67
,EEksy,-43.47,64.60,-13.96,15.51,-95.30,-64.18,48.53
,EEmz,-56.33,56.20,-26.74,1.29,75.76,-76.95,31.24
,EEbkv,-37.55,71.82,-11.41,27.06,-90.92,-58.63,51.60
,EEqz,-56.85,59.28,-19.84,7.96,83.70,-71.10,37.72
DDcjx,EEdhv,-50.23,61.21,-18.31,9.55,89.48,-68.32,39.09
,EEhq,-48.40,63.06,-13.55,12.59,-96.63,-65.39,41.88
,EEmz,-37.92,58.57,-10.93,24.52,-91.23,-60.33,51.09
,EEqz,-32.67,71.71,-1.30,29.93,-88.41,-56.68,52.65
,EEkqy,-55.04,58.32,-23.67,6.56,79.92,-74.01,32.55
DDcy,EEbkv,-54.53,57.76,-23.76,2.06,77.51,-75.93,31.17
,EEmpy,-47.95,63.30,-14.20,8.72,97.82,-67.98,41.10
,EEcrv,-50.37,57.91,-18.61,8.58,87.21,-71.59,38.99
,EEkqy,-34.53,72.08,-6.71,29.72,-89.41,-58.52,53.82
,EEjvz,-39.34,66.29,-12.98,15.94,-94.24,-62.47,50.20
