DD,EE,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt
Average,,-14.16,-5.77,-35.20,19.05,-17.70,-11.21
,  ,-14.16,-5.77,-35.20,19.05,-17.70,-11.21
DDcjx,,-12.35,-47.52,-31.37,30.36,27.54,-6.33
,  EEkqy,-22.03,-51.31,-88.34,-39.24,49.03,14.60
,  EEmz,-1.83,-44.93,-79.53,-28.65,-59.95,-91.54
,  EEhq,-10.73,-45.26,47.11,99.40,63.98,33.94
,  EEdhv,-14.80,-48.60,-4.70,89.94,57.10,17.67
DDmx,,-16.25,-17.37,11.18,-3.10,-8.95,-15.20
,  EEqz,-19.57,77.18,41.41,90.51,48.06,15.02
,  EEmz,-26.95,-54.44,39.37,-41.19,-80.28,-0.72
,  EEksy,-4.49,-44.51,47.69,-28.33,-61.61,-93.01
,  EEbhk,-13.97,-47.72,-83.76,-33.38,58.05,17.92
DDcy,,-13.88,47.59,-85.42,29.88,-71.70,-12.09
,  EEmpy,-11.76,80.91,-82.39,99.32,-68.57,23.26
,  EEcrv,-18.17,79.50,-88.36,-41.97,-73.58,14.10
,  EEjvz,-3.10,84.47,-82.03,-26.69,-61.91,-91.38
,  EEbkv,-22.50,-54.53,-88.91,88.88,-82.73,5.66
