CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBksy,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,AAfnw_BBknr
CCkqy,DDbsz,EEhpx,FFbpv,32.95,46.29,67.49,7.60,78.09,45.67,46.44,19.45,92.73
,DDcwz,EEmz,FFbpv,31.22,98.59,60.70,4.65,69.84,40.04,50.82,14.43,88.12
,DDhk,EEmz,FFbpv,38.38,3.32,69.30,6.58,85.92,47.30,56.47,27.08,95.78
CCbt,DDmpy,EEmz,FFgqt,35.91,49.09,65.55,8.64,83.18,45.91,47.14,25.47,93.43
,DDmx,EEmz,FFgqt,29.48,96.11,56.92,2.40,71.61,40.22,49.34,11.69,83.34
,DDhpt,EEhpx,FFgqt,32.40,99.79,65.65,5.65,75.69,43.01,43.89,15.62,90.29
CCcy,DDhlt,EEhpx,FFlmr,36.40,90.43,69.24,5.71,83.97,47.84,55.91,26.55,94.88
,DDbmz,EEmz,FFlmr,33.22,0.42,65.61,6.56,78.99,43.45,51.78,17.90,90.21
,DDbkv,EEhpx,FFlmr,30.18,97.58,52.38,3.52,72.78,41.66,48.00,12.74,87.98
Minimum,,,,29.48,0.42,52.38,2.40,69.84,40.04,43.89,11.69,83.34
