DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,Average
DDcy,EEcrv,-72.74,70.60,-84.87,43.60,-21.37,-41.89,12.25,87.58,-0.86
,EEbkv,-69.73,68.93,-87.05,41.89,-24.07,-45.31,9.64,85.89,-2.48
,EEmpy,-63.04,70.42,-86.37,46.00,-19.71,-42.18,10.75,-6.42,-11.32
,EEjvz,-58.90,70.41,-75.17,56.39,-14.15,-35.32,26.15,-99.81,-16.30
,EEkqy,-53.37,82.70,-73.55,60.99,-4.52,-28.49,33.38,-91.89,-9.34
DDmx,EEksy,-59.86,75.24,-76.98,53.55,-13.62,-38.08,22.35,-6.01,-5.43
,EEbkv,-54.01,79.01,-74.42,59.49,-6.36,-30.91,30.79,-94.98,-11.42
,EEqz,-67.68,70.98,-86.91,41.99,-24.98,-42.28,8.57,87.54,-1.60
,EEbhk,-63.92,72.84,-82.44,46.75,-19.41,-8.11,14.13,91.59,6.43
,EEmz,-75.45,67.11,-88.25,36.52,-27.39,-47.82,8.07,85.99,-5.15
DDcjx,EEhq,-60.37,74.23,-80.28,50.71,-14.02,-37.59,20.69,-76.26,-15.36
,EEqz,-50.27,82.45,-73.01,60.44,-1.68,-27.87,35.64,-90.35,-8.08
,EEdhv,-65.28,72.11,-4.11,46.94,-19.59,-40.19,13.31,91.56,11.84
,EEmz,-57.87,78.16,-75.38,56.97,-8.22,-35.67,29.42,-96.48,-13.63
,EEkqy,-72.90,68.76,-88.77,42.92,-24.25,-43.38,8.63,87.51,-2.68
