DD,EE,AArv_BBst_CCdl,AArv_BBst_CCnw,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,Maximum
DDnt,,27.74,12.25,5.35,24.98,27.74
,  EEhl,12.24,12.10,5.35,24.98,24.98
,  EElp,22.77,12.25,1.74,21.32,22.77
,  EEdn,27.74,9.94,0.92,18.64,27.74
DDpw,,25.42,17.74,8.39,25.95,25.95
,  EEhr,10.08,14.15,5.13,23.61,23.61
,  EEdn,20.11,17.74,8.39,25.95,25.95
,  EEfh,25.42,6.85,2.35,15.65,25.42
DDtv,,26.57,12.97,7.72,25.91,26.57
,  EEkz,5.87,12.37,7.72,25.91,25.91
,  EEmn,24.35,7.55,0.60,19.46,24.35
,  EEfx,26.57,12.97,4.85,18.26,26.57
Maximum,,27.74,17.74,8.39,25.95,27.74
,  ,27.74,17.74,8.39,25.95,27.74
