CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,EE,FF
Minimum,,16.21,58.49,76.21,0.79,39.22,,
,  ,16.21,58.49,76.21,0.79,39.22,,
CCbt,,16.21,58.49,76.21,0.79,39.22,,
,  DDmpy,27.51,73.39,95.40,8.89,48.80,EEmz,FFbpv
,  DDmx,16.21,58.49,76.21,0.79,39.22,EEmz,FFgqt
,  DDhpt,23.23,66.02,80.14,2.92,43.65,EEhpx,FFcmp
CCkqy,,19.19,64.41,80.35,2.12,43.58,,
,  DDbkv,36.87,75.24,97.17,14.68,55.77,EEmz,FFgqt
,  DDcwz,19.19,64.41,80.35,2.12,43.58,EEmz,FFbpv
,  DDbsz,24.46,72.95,94.29,6.66,47.15,EEhpx,FFlmr
CCcy,,17.40,62.96,79.31,2.62,40.34,,
,  DDbkv,17.40,62.96,79.31,2.62,40.34,EEhpx,FFlmr
,  DDmx,33.27,72.82,96.41,7.52,48.42,EEhpx,FFcmp
,  DDbmz,24.48,68.14,91.66,6.33,44.28,EEmz,FFgqt
