Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,643.87
AAdk,BBtw,CCst,DDnw,934.68
AAdk,BBtw,CChv,DDrz,11.88
AAdk,BBtw,CCst,DDcl,779.17
AAdk,BBtw,CChv,DDlp,141.02
AAdk,BBtw,CCst,DDnt,749.5
AAdk,BBrv,CChv,DDnt,79.78
AAdk,BBrv,CCst,DDnw,814.88
AAdk,BBrv,CChv,DDrz,494.9
AAdk,BBrv,CCst,DDcl,338.85
AAdk,BBrv,CChv,DDlp,786.85
AAdk,BBrv,CCst,DDnt,78.86
AAdk,BBtw,CChv,DDnt,990.06
AAdk,BBtw,CCst,DDnw,568.37
AAdk,BBtw,CChv,DDrz,570.82
AAdk,BBtw,CCst,DDcl,107.33
AAdk,BBtw,CChv,DDlp,157.42
AAdk,BBtw,CCst,DDnt,190.18
