CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv
Average,,-27.28,15.40,23.53,-18.14,0.50,-21.58
,  ,-27.28,15.40,23.53,-18.14,0.50,-21.58
CChpx,,-14.98,55.16,46.77,27.40,44.20,-31.06
,  DDkrs,-74.89,98.07,85.04,38.04,-4.01,-58.85
,  DDdlz,-74.18,69.63,-48.33,34.89,-16.78,67.49
,  DDcmp,46.40,93.11,76.95,23.33,98.70,-64.58
,  DDlmr,42.74,-40.17,73.40,13.34,98.91,-68.30
CCbt,,-50.27,26.94,10.77,-42.25,-21.78,-1.05
,  DDcwz,-85.43,87.85,-56.70,16.46,-25.67,62.98
,  DDmx,-90.33,86.83,71.04,7.10,-28.49,-70.88
,  DDmpy,55.40,-31.78,-45.00,-93.58,-11.30,68.70
,  DDbmz,-80.72,-35.13,73.74,-98.97,-21.67,-65.00
CCfnw,,-16.59,-35.92,13.07,-39.59,-20.92,-32.63
,  DDqz,-85.92,-36.96,75.90,20.96,-28.27,-65.20
,  DDkrs,40.94,-41.14,-56.53,10.78,-28.30,-68.75
,  DDmx,56.55,-30.48,-45.96,-93.91,-5.30,68.31
,  DDgv,-77.94,-35.09,78.86,-96.17,-21.83,-64.89
