DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,Average
DDmx,EEksy,-70.82,53.08,18.36,-20.21,-92.81,-9.93,76.88,-6.49
,EEqz,-81.13,37.34,6.77,-22.72,-7.37,-54.77,66.46,-7.92
,EEbhk,-71.53,45.45,15.76,-21.55,-97.88,-48.91,73.78,-14.98
,EEmz,-84.28,25.91,-0.56,-25.50,93.66,-58.53,60.50,1.60
,EEbkv,-69.95,61.93,-2.82,-9.21,-87.51,-40.21,-9.78,-22.51
DDcy,EEjvz,-67.12,55.04,14.71,-13.21,-92.52,-46.23,76.93,-10.34
,EEkqy,-67.78,61.37,23.39,-7.15,-87.71,-39.62,84.32,-4.74
,EEmpy,-70.53,48.20,16.09,-21.84,-96.34,-48.98,74.57,-14.12
,EEbkv,-83.77,27.03,0.98,-25.02,95.54,-57.38,65.92,3.33
,EEcrv,-80.28,41.00,11.99,-21.64,-98.64,-51.23,69.13,-18.52
DDcjx,EEqz,-60.18,63.94,24.04,-2.12,-87.42,-37.59,86.43,-1.84
,EEkqy,-82.50,30.10,5.49,-23.19,97.89,-54.74,66.81,5.69
,EEmz,-69.81,60.07,20.86,-12.43,-90.93,-43.90,80.70,-7.92
,EEhq,-70.67,51.90,17.76,-17.80,-93.14,-46.99,73.73,-12.17
,EEdhv,-81.61,43.25,14.85,-22.03,-97.37,-49.31,70.32,-17.41
