CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt
CCfnw,DDknr,-15.41,12.76,-84.01,-30.38,85.87,-59.36,36.53
,DDgv,-15.27,8.05,-95.99,-40.00,79.48,-68.74,33.54
,DDkrs,-17.43,11.71,7.24,-37.14,68.97,-63.90,33.35
,DDqz,-28.96,5.84,-9.77,-40.81,63.66,-70.49,29.95
CCbt,DDmx,-17.91,9.00,7.00,-40.36,66.52,-67.92,29.55
,DDcwz,-23.16,3.40,99.87,-44.00,58.44,-71.96,26.26
,DDbmz,-16.47,8.99,-99.48,-40.23,79.57,-71.53,30.26
,DDmpy,-16.31,12.74,-85.03,-34.65,81.44,-65.97,35.65
CChpx,DDqtw,-14.50,14.46,-83.10,-28.93,85.03,-58.37,37.37
,DDlmr,-12.00,12.17,8.72,-35.15,69.58,-62.53,34.92
,DDdlz,-16.61,11.97,-87.26,-39.21,81.08,-66.49,34.76
,DDcmp,-1.68,6.21,-0.46,-39.98,76.02,-72.40,29.87
Average,,-16.31,9.77,-35.19,-37.57,74.64,-66.64,32.67
