Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,644.64
AAdk,BBtw,CCst,DDnw,261.82
AAdk,BBtw,CChv,DDrz,775.56
AAdk,BBtw,CCst,DDcl,524.25
AAdk,BBtw,CChv,DDlp,652.2
AAdk,BBtw,CCst,DDnt,656.45
AAdk,BBrv,CChv,DDnt,790.53
AAdk,BBrv,CCst,DDnw,153.87
AAdk,BBrv,CChv,DDrz,289.7
AAdk,BBrv,CCst,DDcl,808.95
AAdk,BBrv,CChv,DDlp,683.6
AAdk,BBrv,CCst,DDnt,694.16
AAdk,BBmn,CChv,DDnt,60.37
AAdk,BBmn,CCst,DDnw,190.72
AAdk,BBmn,CChv,DDrz,454.05
AAdk,BBmn,CCst,DDcl,716.96
AAdk,BBmn,CChv,DDlp,220.3
AAdk,BBmn,CCst,DDnt,127.24
AAdk,BBtw,CChv,DDnt,229.23
AAdk,BBtw,CCst,DDnw,364.13
AAdk,BBtw,CChv,DDrz,497.32
AAdk,BBtw,CCst,DDcl,885.42
AAdk,BBtw,CChv,DDlp,248.49
AAdk,BBtw,CCst,DDnt,127.73
