Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,192.74
AAdk,BBtw,CCst,DDnw,344.2
AAdk,BBtw,CChv,DDrz,900.87
AAdk,BBtw,CCst,DDcl,165.95
AAdk,BBtw,CChv,DDlp,839.54
AAdk,BBtw,CCst,DDnt,298.85
AAdk,BBrv,CChv,DDnt,683.65
AAdk,BBrv,CCst,DDnw,748.45
AAdk,BBrv,CChv,DDrz,909.86
AAdk,BBrv,CCst,DDcl,75.85
AAdk,BBrv,CChv,DDlp,683.74
AAdk,BBrv,CCst,DDnt,400.06
AAdk,BBtw,CChv,DDnt,848.37
AAdk,BBtw,CCst,DDnw,268.22
AAdk,BBtw,CChv,DDrz,632.24
AAdk,BBtw,CCst,DDcl,570.86
AAdk,BBtw,CChv,DDlp,251.27
AAdk,BBtw,CCst,DDnt,701.32
