CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
CCcy,,22.34,63.95,4.62,81.16,47.03,74.47,26.95,,
,  DDbsz,26.19,69.64,14.46,94.12,55.58,81.36,44.03,EEmz,FFlmr
,  DDhpt,23.82,67.73,8.05,81.16,55.01,78.07,34.75,EEmz,FFlmr
,  DDbkv,22.34,63.95,4.62,82.98,47.03,74.47,26.95,EEmz,FFlmr
CCbt,,17.40,58.85,3.90,82.71,47.36,67.35,26.56,,
,  DDmx,17.40,58.85,3.90,82.71,47.36,67.35,26.56,EEmz,FFgqt
,  DDbmz,25.96,68.03,12.35,90.03,56.23,77.20,35.31,EEmz,FFgqt
,  DDcwz,23.64,66.80,6.50,83.99,52.30,77.70,32.10,EEmz,FFgqt
Minimum,,17.40,58.85,3.90,81.16,47.03,67.35,26.56,,
,  ,17.40,58.85,3.90,81.16,47.03,67.35,26.56,,
