AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,97.6
AAdk,BBtw,CCtv,DDmn,EEdn,FFrz,42.49
AAdk,BBtw,CChv,DDcl,EEdn,FFrv,11.51
AAdk,BBtw,CCtv,DDhz,EEdn,FFrz,76.64
AAst,BBnw,CChv,DDnt,EEdn,FFrv,44.8
AAst,BBnw,CCtv,DDmn,EEdn,FFrz,14.39
AAst,BBnw,CChv,DDcl,EEdn,FFrv,79.27
AAst,BBnw,CCtv,DDhz,EEdn,FFrz,48.1
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,17.72
AAdk,BBpw,CCtv,DDmn,EEdn,FFrz,50.28
AAdk,BBpw,CChv,DDcl,EEdn,FFrv,81.5
AAdk,BBpw,CCtv,DDhz,EEdn,FFrz,55.5
AAst,BBlp,CChv,DDnt,EEdn,FFrv,24.84
AAst,BBlp,CCtv,DDmn,EEdn,FFrz,89.3
AAst,BBlp,CChv,DDcl,EEdn,FFrv,61.23
AAst,BBlp,CCtv,DDhz,EEdn,FFrz,57.66
