CC,DD,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBcjx,AAmz_BBgqt,Average
CCbt,,5.53,65.94,21.36,-20.96,-27.49,8.87
,  DDbmz,-22.13,67.38,21.34,-46.81,-82.69,-12.58
,  DDmx,97.58,60.47,3.69,-56.59,44.85,30.00
,  DDcwz,-26.49,56.29,9.85,-48.25,-83.17,-18.35
,  DDmpy,-14.42,71.29,32.30,-43.56,-73.93,-5.66
,  DDlmr,-6.90,74.26,39.61,90.39,57.49,50.97
CChpx,,9.71,-33.98,18.03,35.16,-0.18,5.75
,  DDqz,-1.68,-54.70,-1.64,96.39,60.44,19.76
,  DDdlz,-16.55,-58.49,31.43,85.75,46.48,17.72
,  DDkrs,-7.55,-56.32,37.80,88.70,56.91,23.91
,  DDlmr,99.19,61.82,8.77,-49.00,-82.99,7.56
,  DDcmp,-24.86,-62.23,13.77,-46.03,-81.74,-40.22
CCfnw,,7.55,-9.66,-13.38,58.30,0.87,8.74
,  DDqz,-25.02,59.85,78.56,-51.12,48.10,22.07
,  DDgv,-20.88,-60.10,-99.25,84.50,-77.06,-34.56
,  DDkrs,96.30,-66.75,5.64,78.92,-83.22,6.18
,  DDmx,-10.64,-56.18,-94.30,87.47,56.83,-3.36
,  DDcwz,-2.03,74.90,42.43,91.71,59.72,53.35
Average,,7.59,7.43,8.67,24.16,-8.93,7.79
,  ,7.59,7.43,8.67,24.16,-8.93,7.79
