DD,EE,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDmx,,-5.65,-52.18,6.08,24.30,45.39,0.51,12.17
,  EEcrv,-21.29,-68.07,2.50,-39.79,45.80,34.34,-54.32
,  EEkqy,-29.14,-69.48,3.01,-43.44,39.79,28.28,-54.90
,  EEbhk,-18.79,-69.66,9.14,92.41,48.07,-93.18,79.99
,  EEmz,46.63,-1.49,9.67,88.01,47.89,32.59,77.92
DDcy,,8.03,31.26,10.26,74.05,-15.60,2.44,28.53
,  EEmpy,-10.04,68.96,15.72,94.99,52.98,39.81,80.22
,  EEbkv,88.00,63.30,11.87,24.31,-80.05,32.84,13.48
,  EEdhv,-18.95,-66.16,8.71,90.66,-81.06,-94.38,-55.35
,  EEqz,-26.90,58.93,4.74,86.24,45.72,31.49,75.77
Average,,1.19,-10.46,8.17,49.17,14.89,1.47,20.35
,  ,1.19,-10.46,8.17,49.17,14.89,1.47,20.35
