CC,DD,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBcjx,AAmz_BBgqt
CCbt,DDcwz,97.09,7.72,-63.65,-46.63,-84.21
,DDbmz,-19.02,-7.97,-60.49,-41.13,49.05
,DDmpy,-10.48,36.80,72.29,-38.01,-71.17
,DDmx,93.42,3.29,59.74,79.96,41.99
CChpx,DDlmr,92.01,4.87,-66.25,81.49,-85.01
,DDkrs,-7.44,-89.92,-56.72,90.53,-69.00
,DDcmp,-25.27,10.15,68.64,-44.29,-79.73
,DDdlz,-12.08,34.36,71.08,-40.51,-73.61
CCfnw,DDqz,-30.96,8.74,-61.19,83.26,45.85
,DDgv,-17.12,-95.11,-58.87,-40.70,54.13
,DDkrs,94.64,3.41,-69.63,-48.96,41.23
,DDmx,-9.79,36.59,-55.81,-37.11,-70.31
