AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,770.4
AAdk,BBtw,CChv,DDtv,EEmn,388.08
AAdk,BBtw,CChv,DDnt,EEfh,135.78
AAdk,BBtw,CChv,DDtv,EElp,777.17
AAdk,BBtw,CChv,DDnt,EEfx,910.01
AAdk,BBtw,CChv,DDtv,EEhr,912.61
AAdk,BBst,CChv,DDnt,EEdn,274.89
AAdk,BBst,CChv,DDtv,EEmn,535.61
AAdk,BBst,CChv,DDnt,EEfh,280.55
AAdk,BBst,CChv,DDtv,EElp,809.37
AAdk,BBst,CChv,DDnt,EEfx,47.62
AAdk,BBst,CChv,DDtv,EEhr,178.86
AAdk,BBtw,CChv,DDnt,EEdn,691.52
AAdk,BBtw,CChv,DDtv,EEmn,311.17
AAdk,BBtw,CChv,DDnt,EEfh,823.25
AAdk,BBtw,CChv,DDtv,EElp,849.55
AAdk,BBtw,CChv,DDnt,EEfx,348.52
AAdk,BBtw,CChv,DDtv,EEhr,476.58
AAdk,BBst,CChv,DDnt,EEdn,224.21
AAdk,BBst,CChv,DDtv,EEmn,996.22
AAdk,BBst,CChv,DDnt,EEfh,357.19
AAdk,BBst,CChv,DDtv,EElp,749.25
AAdk,BBst,CChv,DDnt,EEfx,758.11
AAdk,BBst,CChv,DDtv,EEhr,250.71
