DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx
DDcy,EEbkv,3.57,64.98,-20.62,36.39,-54.36,-37.66,-89.72
,EEqz,10.67,-65.95,-14.55,40.21,68.34,96.46,-72.15
,EEdhv,22.56,-60.95,-12.19,41.62,86.65,-30.71,-70.02
,EEmpy,-71.62,68.46,-8.71,44.17,86.75,98.51,60.55
,EEmz,32.83,72.47,-2.37,-86.23,90.06,-23.77,-70.46
DDmx,EEcrv,15.49,-61.75,-13.07,40.46,-50.56,-30.44,-73.99
,EEkqy,4.38,-63.50,-17.08,-89.26,75.61,95.34,-73.94
,EEbhk,22.99,68.88,-11.29,43.02,87.46,99.11,-69.43
,EEmz,1.02,63.46,-22.10,-93.18,73.78,-37.42,-81.72
,EEhq,-98.98,71.86,-3.89,40.01,-39.61,-25.27,58.78
