DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv
Average,,23.80,-18.03,25.99,-3.31
,  ,23.80,-18.03,25.99,-3.31
DDcy,,-23.00,-22.93,25.33,9.10
,  EEbkv,63.78,8.65,43.42,95.93
,  EEjvz,-52.01,37.89,53.46,-10.21
,  EEcrv,-59.48,26.71,46.57,-6.93
,  EEkqy,-9.45,-88.23,-69.66,-5.59
,  EEmpy,-57.82,-99.66,52.84,-27.71
DDcjx,,23.57,-28.10,27.51,-20.85
,  EEmz,-52.98,-90.77,57.91,-9.01
,  EEhq,71.54,-99.15,-76.36,-25.66
,  EEqz,92.68,41.17,61.76,-1.74
,  EEkqy,-63.43,10.25,44.00,-33.85
,  EEdhv,70.05,-1.98,50.22,-33.97
DDmx,,70.83,-3.06,25.14,1.82
,  EEmz,63.22,5.96,42.41,-35.22
,  EEbkv,77.18,-89.75,-69.52,-6.29
,  EEksy,76.38,27.67,55.55,-15.46
,  EEqz,66.05,14.20,45.14,-31.02
,  EEbhk,71.34,26.61,52.13,97.08
