DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBnqx_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,Maximum
DDcjx,,16.98,17.68,24.86,27.78,22.18,11.61,19.65,6.09,27.78
,  EEkqy,12.26,11.77,20.51,23.38,20.96,2.52,17.29,0.59,23.38
,  EEmz,16.98,17.68,24.86,7.67,17.95,11.61,19.65,6.09,24.86
,  EEdhv,15.32,14.35,22.54,27.78,22.18,3.68,17.13,4.60,27.78
DDcy,,24.93,13.92,23.39,27.77,25.31,10.68,17.01,6.93,27.77
,  EEcrv,0.38,12.12,21.62,23.42,22.96,9.02,17.01,3.78,23.42
,  EEbkv,12.60,4.53,20.27,27.77,19.98,8.95,16.25,1.43,27.77
,  EEmpy,24.93,13.92,23.39,26.55,25.31,10.68,6.61,6.93,26.55
DDmx,,24.55,14.77,23.94,27.04,19.67,10.59,18.96,6.58,27.04
,  EEqz,24.55,12.18,21.35,26.48,19.67,9.83,17.35,3.52,26.48
,  EEmz,12.39,8.18,19.11,21.06,15.71,7.00,16.32,0.62,21.06
,  EEbhk,2.01,14.77,23.94,27.04,19.05,10.59,18.96,6.58,27.04
Maximum,,24.93,17.68,24.86,27.78,25.31,11.61,19.65,6.93,27.78
,  ,24.93,17.68,24.86,27.78,25.31,11.61,19.65,6.93,27.78
