DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBgv_CCcqx,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt
DDcy,EEmz,33.27,-71.94,-43.98,77.50,-11.77,-96.02,11.39
,EEqz,38.75,-67.43,-37.78,87.14,-2.15,-90.09,18.19
,EEmpy,32.27,-76.28,-50.48,65.43,-18.81,0.46,8.30
,EEbkv,22.02,-86.38,-63.86,48.20,-30.20,92.99,2.99
,EEcrv,28.55,-83.86,-53.74,56.12,-22.12,97.63,5.55
DDmx,EEksy,34.38,-73.78,-44.34,73.15,-13.69,-96.20,11.93
,EEmz,21.54,-90.18,-64.95,46.06,-30.06,91.16,0.99
,EEkqy,37.88,-70.93,-40.67,85.58,-10.56,-91.32,17.11
,EEqz,27.10,-84.02,-55.01,54.53,-26.91,96.37,3.44
,EEbhk,27.74,-81.66,-52.84,63.12,-19.14,99.66,7.99
DDcjx,EEkqy,24.12,-85.80,-55.89,52.68,-28.29,94.11,3.00
,EEbkv,33.01,-70.07,-43.27,83.28,-10.31,-92.12,17.49
,EEhq,33.19,-74.78,-49.86,69.03,-14.94,-98.65,9.58
,EEdhv,27.45,-85.17,-52.68,57.54,-20.30,98.35,3.53
,EEcrv,45.53,-65.50,-34.82,88.02,-1.52,-89.58,19.61
