CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,Minimum,EE,FF
CCbt,,62.80,24.00,2.55,84.28,38.99,2.55,,
,  DDmx,62.80,24.00,2.55,84.28,38.99,2.55,EEmz,FFgqt
,  DDmpy,81.74,33.04,19.49,96.44,50.32,19.49,EEmz,FFgqt
,  DDhpt,71.18,29.12,11.56,93.19,45.83,11.56,EEhpx,FFgqt
CCkqy,,68.56,24.45,10.29,92.33,44.28,10.29,,
,  DDbsz,76.47,31.70,19.42,94.37,45.86,19.42,EEhpx,FFbpv
,  DDcwz,68.56,24.45,10.29,92.33,44.28,10.29,EEmz,FFbpv
,  DDbkv,84.83,37.55,23.09,94.98,57.03,23.09,EEmz,FFbpv
CCcy,,64.38,23.65,4.88,90.71,41.14,4.88,,
,  DDmx,84.05,34.59,19.26,92.87,52.01,19.26,EEhpx,FFlmr
,  DDbkv,64.38,23.65,4.88,90.71,41.14,4.88,EEhpx,FFlmr
,  DDbmz,75.68,30.54,15.90,93.45,45.17,15.90,EEmz,FFlmr
Minimum,,62.80,23.65,2.55,84.28,38.99,2.55,,
,  ,62.80,23.65,2.55,84.28,38.99,2.55,,
