CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl,Average
CCbx,,45.23,41.44,28.53,26.98,-15.83,25.27
,  DDnt,96.44,49.42,-51.63,32.79,-3.83,24.64
,  DDcs,85.36,36.60,70.07,29.84,-15.81,41.21
,  DDrz,-46.11,38.31,67.16,18.31,-27.85,9.96
CChv,,-43.36,-4.01,-63.09,17.42,-21.53,-22.91
,  DDnt,-49.99,-92.49,-73.91,2.91,-30.90,-48.88
,  DDcl,-45.27,38.51,-59.31,18.53,-20.81,-13.67
,  DDhm,-34.83,41.95,-56.04,30.81,-12.88,-6.20
CCst,,0.35,-2.20,-18.36,-17.75,-19.49,-11.49
,  DDlp,82.22,-88.59,70.24,26.06,-20.70,13.85
,  DDdf,-32.35,44.25,-57.47,-96.95,-8.40,-30.18
,  DDnw,-48.81,37.73,-67.86,17.63,-29.37,-18.14
Average,,0.74,11.74,-17.64,8.88,-18.95,-3.04
,  ,0.74,11.74,-17.64,8.88,-18.95,-3.04
