Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,640.65
AAdk,BBtw,CCst,DDnw,642.25
AAdk,BBtw,CChv,DDrz,258.36
AAdk,BBtw,CCst,DDcl,900.32
AAdk,BBtw,CChv,DDlp,649.51
AAdk,BBtw,CCst,DDnt,394.0
AAdk,BBrv,CChv,DDnt,269.77
AAdk,BBrv,CCst,DDnw,798.21
AAdk,BBrv,CChv,DDrz,676.54
AAdk,BBrv,CCst,DDcl,567.85
AAdk,BBrv,CChv,DDlp,953.8
AAdk,BBrv,CCst,DDnt,185.95
AAdk,BBmn,CChv,DDnt,59.5
AAdk,BBmn,CCst,DDnw,718.07
AAdk,BBmn,CChv,DDrz,463.26
AAdk,BBmn,CCst,DDcl,976.61
AAdk,BBmn,CChv,DDlp,721.95
AAdk,BBmn,CCst,DDnt,338.98
AAdk,BBtw,CChv,DDnt,84.49
AAdk,BBtw,CCst,DDnw,88.47
AAdk,BBtw,CChv,DDrz,607.68
AAdk,BBtw,CCst,DDcl,484.19
AAdk,BBtw,CChv,DDlp,360.71
AAdk,BBtw,CCst,DDnt,121.86
