DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm
Maximum,,23.60,17.88,27.56,12.09,21.44,5.67,24.68,18.51
,  ,23.60,17.88,27.56,12.09,21.44,5.67,24.68,18.51
DDmx,,23.60,17.88,27.26,11.70,21.40,5.67,23.32,18.51
,  EEkqy,9.52,13.61,27.26,5.82,20.51,2.41,19.07,5.21
,  EEmz,23.60,13.94,24.69,4.11,18.90,1.05,19.27,15.75
,  EEcrv,15.90,17.88,27.23,11.70,21.40,5.67,23.32,18.51
DDcy,,15.51,17.65,27.56,12.09,21.44,5.51,24.68,17.77
,  EEdhv,15.51,17.65,21.78,12.09,3.56,5.51,24.68,5.87
,  EEqz,11.91,16.54,27.56,10.75,21.44,4.82,17.87,5.78
,  EEbkv,6.68,14.95,26.62,6.56,20.90,2.66,19.75,17.77
