DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt
DDcy,,56.66,-68.13,-10.82,0.61,34.89,10.79,-40.46,76.62
,  EEqz,62.46,-62.98,-2.01,-84.26,45.13,20.14,-32.86,88.83
,  EEbkv,49.59,-78.08,-21.95,93.79,23.78,1.98,-48.97,66.41
,  EEmpy,54.95,-66.01,-10.54,-7.58,36.79,10.79,-39.23,78.09
,  EEcrv,53.71,-71.36,-13.22,94.09,27.34,6.65,-42.87,71.74
,  EEmz,62.60,-62.22,-6.37,-92.97,41.40,14.38,-38.38,78.01
DDmx,,55.31,-69.33,-12.62,-0.42,33.53,9.50,-40.80,75.73
,  EEksy,61.36,-63.35,-7.49,-94.12,40.73,13.22,-38.16,79.84
,  EEqz,51.65,-76.39,-16.88,95.48,24.27,5.55,-43.03,69.71
,  EEkqy,62.76,-60.99,-3.96,-88.13,45.98,19.04,-33.02,85.34
,  EEbhk,55.62,-67.36,-12.08,-7.06,34.32,9.17,-39.48,76.45
,  EEmz,45.16,-78.58,-22.71,91.72,22.35,0.52,-50.31,67.33
DDcjx,,58.23,-65.25,-9.23,-15.63,37.16,11.94,-38.83,79.30
,  EEkqy,50.25,-76.41,-19.43,94.14,24.18,1.50,-45.27,65.80
,  EEbkv,61.91,-63.45,-4.29,-91.09,44.48,17.42,-38.25,84.76
,  EEcrv,65.32,-53.81,-1.25,-80.87,46.28,20.32,-32.29,90.79
,  EEhq,59.21,-64.88,-8.35,-99.95,37.67,11.97,-37.90,79.20
,  EEdhv,54.47,-67.68,-12.83,99.61,33.18,8.51,-40.46,75.96
