AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,259.53
AAdk,BBtw,CChv,DDtv,EEmn,911.42
AAdk,BBtw,CChv,DDnt,EEfh,17.64
AAdk,BBtw,CChv,DDtv,EElp,659.21
AAdk,BBtw,CChv,DDnt,EEfx,537.17
AAdk,BBtw,CChv,DDtv,EEdn,25.15
AAdk,BBst,CChv,DDnt,EEdn,679.55
AAdk,BBst,CChv,DDtv,EEmn,169.36
AAdk,BBst,CChv,DDnt,EEfh,683.04
AAdk,BBst,CChv,DDtv,EElp,687.46
AAdk,BBst,CChv,DDnt,EEfx,688.66
AAdk,BBst,CChv,DDtv,EEdn,572.62
AAdk,BBrz,CChv,DDnt,EEdn,447.27
AAdk,BBrz,CChv,DDtv,EEmn,191.38
AAdk,BBrz,CChv,DDnt,EEfh,706.93
AAdk,BBrz,CChv,DDtv,EElp,979.56
AAdk,BBrz,CChv,DDnt,EEfx,83.1
AAdk,BBrz,CChv,DDtv,EEdn,86.16
AAdk,BBtw,CChv,DDnt,EEdn,87.15
AAdk,BBtw,CChv,DDtv,EEmn,728.14
AAdk,BBtw,CChv,DDnt,EEfh,101.16
AAdk,BBtw,CChv,DDtv,EElp,359.51
AAdk,BBtw,CChv,DDnt,EEfx,487.59
AAdk,BBtw,CChv,DDtv,EEdn,103.91
AAdk,BBst,CChv,DDnt,EEdn,364.5
AAdk,BBst,CChv,DDtv,EEmn,236.9
AAdk,BBst,CChv,DDnt,EEfh,750.06
AAdk,BBst,CChv,DDtv,EElp,502.89
AAdk,BBst,CChv,DDnt,EEfx,375.46
AAdk,BBst,CChv,DDtv,EEdn,761.72
