CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx
Average,,-2.48,-7.53,-14.77,-15.89,23.25
,  ,-2.48,-7.53,-14.77,-15.89,23.25
CCfnw,,-20.90,0.05,22.67,1.91,17.79
,  DDqz,-75.48,-26.46,10.02,-4.79,78.16
,  DDknr,-70.36,-14.80,32.60,51.79,-43.89
,  DDkrs,-1.16,46.13,19.97,-87.65,-45.77
,  DDgv,63.39,-4.67,28.08,48.28,82.67
CCbt,,-18.49,-4.89,-12.44,-18.51,32.15
,  DDmpy,-64.31,-14.69,-96.59,-79.89,83.42
,  DDcwz,-69.71,-27.98,8.53,43.92,78.29
,  DDbmz,62.06,-21.88,19.98,-82.20,-48.91
,  DDmx,-2.02,45.00,18.32,44.14,15.80
CChpx,,31.95,-17.74,-54.55,-31.07,19.80
,  DDdlz,63.40,-18.84,-97.00,49.15,-45.04
,  DDlmr,64.40,-16.27,-45.51,-15.24,-43.50
,  DDcmp,-67.53,-24.46,18.79,-82.01,80.80
,  DDqtw,67.54,-11.41,-94.46,-76.16,86.94
