CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBcjx,AAcqx_BBgv,Minimum,EE,FF
CCkqy,,57.86,20.90,7.27,83.23,48.14,33.45,66.00,7.27,,
,  DDmx,63.00,29.91,54.36,97.07,54.27,42.81,75.85,29.91,EEmz,FFbpv
,  DDcwz,57.86,20.90,7.27,83.23,48.14,33.45,66.00,7.27,EEmz,FFbpv
,  DDbsz,58.98,27.50,11.11,89.00,51.75,37.56,72.95,11.11,EEhpx,FFbpv
CCcy,,56.05,19.29,5.40,82.60,45.20,32.51,63.38,5.40,,
,  DDbmz,59.33,54.71,9.35,89.07,50.74,58.58,68.83,9.35,EEmz,FFlmr
,  DDhlt,57.92,29.75,16.60,95.01,52.32,40.04,72.51,16.60,EEhpx,FFlmr
,  DDbkv,56.05,19.29,5.40,82.60,45.20,32.51,63.38,5.40,EEhpx,FFlmr
CCbt,,55.95,18.92,0.26,80.01,43.45,30.14,64.78,0.26,,
,  DDmpy,59.21,28.60,15.66,92.58,52.51,39.09,72.48,15.66,EEmz,FFgqt
,  DDmx,55.95,18.92,0.26,80.01,43.45,30.14,64.78,0.26,EEmz,FFgqt
,  DDhpt,58.12,55.26,9.05,84.22,49.50,34.13,67.98,9.05,EEhpx,FFgqt
Minimum,,55.95,18.92,0.26,80.01,43.45,30.14,63.38,0.26,,
,  ,55.95,18.92,0.26,80.01,43.45,30.14,63.38,0.26,,
