CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
Minimum,,56.77,14.19,2.65,84.09,42.24,70.72,26.36,,
,  ,56.77,14.19,2.65,84.09,42.24,70.72,26.36,,
CCcy,,57.12,15.48,6.24,84.46,44.50,71.93,33.82,,
,  DDhpt,64.22,22.62,10.94,90.66,50.77,74.78,34.64,EEhpx,FFgqt
,  DDbkv,57.12,15.48,6.24,84.46,44.50,71.93,33.82,EEhpx,FFlmr
,  DDmx,69.01,24.26,12.54,97.65,53.79,80.20,42.14,EEhpx,FFbpv
CCbt,,56.77,14.19,2.65,84.09,42.24,70.72,26.36,,
,  DDcwz,60.81,21.24,7.82,86.26,45.66,73.78,34.11,EEmz,FFbpv
,  DDbmz,66.77,24.29,11.35,96.06,53.00,73.77,41.82,EEmz,FFlmr
,  DDmx,56.77,14.19,2.65,84.09,42.24,70.72,26.36,EEmz,FFgqt
