DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,Average
DDmx,,6.67,-82.11,91.44,24.64,-19.30,-30.06,-12.59,-50.02,-8.92
,  EEmz,1.83,-84.09,86.17,18.66,-26.43,-75.14,-66.28,-95.01,-30.04
,  EEcrv,12.77,-77.70,98.22,30.45,-10.68,58.50,83.55,38.74,29.23
,  EEkqy,5.40,-84.53,89.93,24.80,-20.80,-73.55,-55.05,-93.80,-25.95
DDcy,,8.68,6.31,51.18,24.91,-15.44,-71.23,-8.85,-49.39,-6.73
,  EEdhv,14.13,51.32,-30.89,30.33,-1.31,-68.77,84.67,-87.06,-0.95
,  EEbkv,3.93,-83.31,86.20,20.00,-25.91,-73.20,-62.77,-95.05,-28.76
,  EEqz,7.98,50.93,98.24,24.41,-19.10,-71.71,-48.45,33.95,9.53
Average,,7.67,-37.90,71.31,24.78,-17.37,-50.64,-10.72,-49.71,-7.82
,  ,7.67,-37.90,71.31,24.78,-17.37,-50.64,-10.72,-49.71,-7.82
