DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt
DDcy,,9.19,-40.34,29.83,-23.04,-18.27
,  EEbkv,-84.95,-44.60,-60.87,-31.99,4.27
,  EEcrv,51.14,-40.61,73.29,-25.42,30.65
,  EEmpy,61.38,-35.80,77.06,-11.70,-89.74
DDmx,,-37.32,43.82,28.85,-28.70,20.81
,  EEbhk,53.68,91.60,76.60,-23.26,35.90
,  EEmz,-87.38,82.50,66.09,-33.15,0.54
,  EEqz,-78.25,-42.65,-56.14,-29.68,25.98
DDcjx,,-30.37,3.98,-54.31,23.30,29.48
,  EEmz,-63.27,94.85,-50.04,-4.78,40.35
,  EEkqy,-80.03,-43.65,-58.49,98.54,16.30
,  EEdhv,52.19,-39.26,-54.39,-23.86,31.80
Average,,-19.50,2.49,1.46,-9.48,10.67
,  ,-19.50,2.49,1.46,-9.48,10.67
